Fan tokens, markets,7253630,2620,15
Stacking, markets,5818908,1770,16
BTC pairs, markets,415636,118,16
ETH pairs, markets,498764,118,16
Top 10 cmc pairs, markets,725363,221,15
GameFI tokens, markets,831273,207,16
Defi2.0 tokens, markets,362681,110,15
SocialFi tokens, markets,362681,138,15
Meme coins, markets,1450726,303,15
Shit coins, markets,3626815,1630,15
Margin trading x10, markets,1813407,759,15
Margin trading x20, markets,4156363,1030,16
Margin trading x30, markets,5818908,1480,16
Margin trading x50, markets,7253630,3040,15
Margin trading x75, markets,12469089,3250,15
Margin trading x100, markets,8312726,2880,16
Derivatives, markets,4156363,1460,16
Prediction markets, markets,2909454,1020,16
Web3 integration, markets,4714859,2180,15
DAO, markets,1662545,679,16
P2P trading, markets,3046524,1080,15
Trading bots, markets,1523262,538,15 
LayerZeroListing, markets,7253630,2480,15
Support team,PR&Team,544022,193,15
HamsterBook, PR&Team,2000557,221,16
X, PR&Team,914400,236,16
Cointelegraph, PR&Team,253877,110,15
HamsterTube, PR&Team,999372,232,14 
HamsterGram, PR&Team,831273,207,15
TikTok, PR&Team,1246909,295,16
Coindesk, PR&Team,725363,221,15
Influencers, PR&Team,4156363,797,16
CEO, PR&Team,1662545,295,16
IT team, PR&Team,3325090,709,16 
Marketing, PR&Team,725363,193,15
Partnership program, PR&Team,831273,207,16
Product team, PR&Team,725363,276,15
BisDev team, PR&Team,362681,138,15
Two factor authentication, PR&Team,725363,345,15
UX and UI team, PR&Team,1263534,517,15
Security team, PR&Team,1662545,590,15
QA team, PR&Team,2119745,561,16
Antihacking shield, PR&Team,664594,284,14
Risk management team, PR&Team,3325090,782,16
Security Audition, PR&Team,2176089,276,14
Anonymous transactions ban, PR&Team,3601002,948,17
Blocking suspicious accounts, PR&Team,906704,441,15
Tokenomics expert, PR&Team,3626815,1380,15
Consensus Explorer pass, PR&Team,8307428,3870,14
VC labs, PR&Team,5150606,1290,14
Compliance officer, PR&Team,1163040,309,14
Welcome to Amsterdam, PR&Team,2176089,897,15 
Development Hub mumbai,PR&Team,29906742,10310,14
Data center tokyo,PR&Team,66459426,16760,14
Leaderboards,PR&Team,6645943,1930,14
KYC,Legal,72536,28,15
KYB,Legal,362681,166,15
Legal opinion,Legal,332297,155,14
SEC transparancy,Legal,398757,155,14
Anti money loundering,Legal,2176089,773,15
Licence UAE,Legal,8312726,1650,15
Licence Europe,Legal,8312726,2130,16
Licence Asia,Legal,3626815,1020,15
Licence South America,Legal,3626815,1080,15
Licence Australia,Legal,8312726,2010,16
Licence North America,Legal,7253630,2650,15
Licence Nigeria,Legal,1088044,469,15
Licence Japan,Legal,16614856,6700,14
Licence Ethiopia,Legal,11630400,4640,14
Licence India,Legal,71922827,6030,13
Licence Bangladesh,Legal,23260799,9030,14
Licence Indonesia,Legal,33229713,12890,14
Licence Vietnam,Legal,28245256,10310,14
Licence Turkey,Legal,24922285,7740,14
Licence Philippines,Legal,49844569,16760,14
DEX,Web3,24922285,7740,14
Oracle,Web3,5815200,2060,14
Vesting smartcontracts,Web3,6553465,2890,13
Launchpad,Web3,15184857,7230,13
NFT Marketplace,Web3,12467567,4820,13
Rolex For soulmate,Specials,2653298,1400,5
Call for BTC to rise,Specials,18667282,7500,6
Business jet,Specials,15315379,3440,2
CX Hub istabul,Specials,18276342,7740,14
Hamsters break records,Specials,11919950,5410,10
Web3 Game con,Specials,9968914,3090,14
X Network 10 million, Specials,2326080,1030,14
Hamster Green energy, Specials,12331170,5520,15
Youtube 25 million, Specials,13056533,5790,15
TG Leaders,Specials,36575994,6790,16
Premarket Launch,Specials,42813036,15790,11
Hamster Kombat merch,Specials,996891,258,14
Consensus Piranha Pass,Specials,16614856,4900,14
Web3 academy launch,Specials,18287997,4430,16
YouTube Gold Button,Specials,10002783,869,17
Hamster YouTube Channel,Specials,2493818,738,16
Bitcoin Pizza Day,Specials,725363,276,15
Top 10 Global Ranking,Specials,7253630,3310,15
NFT Collection Launch,Specials,28263268,3540,16
Short squeeze,Specials,5594421,2410,13
There are two chairs,Specials,16614856,5160,14
Long squeeze,Specials,21760889,5520,15
Villa for the DEV team,Specials,3325090,1320,16 
Apps Center Listing,Specials,10880444,2760,15
Bogdanoff is calling, Specials,3626815,1310,15
USDT on TON,Specials,16625452,3990,16
TON+Hamster = Success,Specials,23839901,9840,10

